,/api/hoiio-sms,/api/cnet,/api/hoiio-voice,/api/skype,/api/shopify-admin,/api/twitter,/api/ringful,/api/amazon-product-advertising,/api/yahoo-address-book,/api/amazon-mechanical-turk,/api/youtube,/api/google-wave,/api/evoca,/api/bbc,/api/yahoo-mail,/api/twilio-sms,/api/yahoo-answers,/api/google-calendar,/api/mapquest,/api/stripe,/api/flickr,/api/google-contacts,/api/google-app-engine,/api/appharbor,/api/docusign-enterprise,/api/recurly,/api/forvo,/api/google-talk,/api/plum-fuse,/api/amazon-ec2,/api/nationbuilder,/api/facebook,/api/telapi,/api/broadsoft-xtended,/api/myvox,/api/ip2location,/api/aol-instant-messenger,/api/freshbooks,/api/thrutu,/api/tropo-scripting,/api/hackerearth,/api/cloudvox,/api/twilio,/api/sendgrid,/api/google-maps,/api/ebay,/api/microsoft-bing-maps
Mashup: BroadSoft Chumby Widget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Free phone chat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: QuickFuse Amazon Mashup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Pockets App,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: Twilleetio,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: JunctionVox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: SuperPages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mashup: GroupMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: I Don't Need No Stinking Phone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mashup: RingRingBaby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
