,/api/fatsecret-platform,/api/google-search,/api/mapbox,/api/food,/api/twitter,/api/google-openid,/api/amazon-product-advertising,/api/youtube,/api/brewerydb,/api/google-maps-flash,/api/twilio-sms,/api/instagram-graph,/api/google-chart,/api/yelp-fusion,/api/paypal,/api/google-base,/api/zomato-foodie-index,/api/dwolla,/api/facebook-social-plugins,/api/flickr,/api/google-app-engine,/api/yahoo-local-search,/api/dealsurf,/api/adility,/api/withings,/api/google-gadgets,/api/google-maps-data,/api/open-dining-network-food-ordering,/api/fitbit,/api/facebook,/api/evernote,/api/google-analytics-managment,/api/addthis-menu,/api/mandrill,/api/meetup,/api/google-static-maps,/api/retailmenotcom-community-ideas,/api/google-geocoding,/api/google-single-signon,/api/twilio,/api/bing,/api/google-maps,/api/openstreetmap,/api/google-fonts,/api/geocoder,/api/google-adsense,/api/sharedbook,/api/foursquare,/api/venmo
Mashup: Combo7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Oregon Wine Explorer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Eattr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: epiCurious Dish of the day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: FoodieToGo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: partyGPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Mashup: Cool Bars, Restaurants and Clubs",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Foodzy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: dishtip,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Mashup: Wineries of Napa Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mashup: Foodsta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
